"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","4625","Get started and verify URL","chromium","Thu Sep 11 12:56:37 IST 2025","passed","Thu Sep 11 12:56:42 IST 2025","Home","home.spec.ts","",""
"","5361","should upload test file","chromium","Thu Sep 11 12:56:46 IST 2025","failed","Thu Sep 11 12:56:51 IST 2025","upload file","upload.spec.ts","",""
"","5258","search icon","chromium","Thu Sep 11 12:56:44 IST 2025","passed","Thu Sep 11 12:56:49 IST 2025","Home","home.spec.ts","",""
"","2442","Access order","chromium","Thu Sep 11 12:56:34 IST 2025","passed","Thu Sep 11 12:56:36 IST 2025","My account","accounts.spec.ts","",""
"","2497","Access Downloads","chromium","Thu Sep 11 12:56:48 IST 2025","passed","Thu Sep 11 12:56:51 IST 2025","My account","accounts.spec.ts","",""
"","4393","Verify home link enabled using css and text selector","chromium","Thu Sep 11 12:56:42 IST 2025","passed","Thu Sep 11 12:56:46 IST 2025","Home","home.spec.ts","",""
"","9086","verify success message","chromium","Thu Sep 11 12:56:34 IST 2025","passed","Thu Sep 11 12:56:43 IST 2025","contact","contact.spec.ts","",""
"","3378","Verify text of all nav links","chromium","Thu Sep 11 12:56:44 IST 2025","passed","Thu Sep 11 12:56:48 IST 2025","Home","home.spec.ts","",""
"","3602","Reading text","chromium","Thu Sep 11 12:56:41 IST 2025","passed","Thu Sep 11 12:56:44 IST 2025","Home","home.spec.ts","",""
"","1027","get started link","chromium","Thu Sep 11 12:56:36 IST 2025","passed","Thu Sep 11 12:56:37 IST 2025","","example.spec.ts","",""
"","5823","Verify recent post","chromium","Thu Sep 11 12:56:34 IST 2025","passed","Thu Sep 11 12:56:40 IST 2025","Blog","blog.spec.ts","",""
"","1031","has title","chromium","Thu Sep 11 12:56:34 IST 2025","passed","Thu Sep 11 12:56:35 IST 2025","","example.spec.ts","",""
